,battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,id_charge,id_discharge
44,mp-765574_Li,Li0-2MnCu(PO4)2,MnCu(PO4)2,MnCu(PO4)2,Li2MnCu(PO4)2,3.864876450833333,166.30935130011238,590.336355899242,642.7650953931723,2281.577079985746,mp-775025,mp-765574
45,mp-1387639_Li,Li0-1V2CoO6,V2CoO6,V2CoO6,LiV2CoO6,2.0059387333333314,101.61560507019398,439.2115731839619,203.83467812140495,881.0315067779763,mp-1387639,mp-1388676
46,mp-760136_Li,Li0-4TiCu3(PO4)4,TiCu3(PO4)4,TiCu3(PO4)4,Li4TiCu3(PO4)4,3.4505898883333375,165.91377636304,588.7589571016649,572.5003990535046,2031.5657040406861,mp-1101275,mp-1177279
47,mp-753926_Li,Li0-1VCoO4,VCoO4,VCoO4,LiVCoO4,4.31046450333334,148.22738087574749,608.5979906392599,638.9288636869807,2623.340035450526,mp-756413,mp-753926
48,mp-755221_Li,Li0-2V5CoO12,V5CoO12,V5CoO12,Li2V5CoO12,2.7075264283333285,103.17875560329107,357.32062972883404,279.35920763845604,967.4550483795258,mp-757641,mp-755221
49,mp-761141_Li,Li2-2.75V3CoO8,V3CoO8,Li2V3CoO8,Li11V12(CoO8)4,1.861927143333318,56.016817322973324,228.57124192964875,104.29923265678805,425.5829995342196,mp-774950,mp-761141
50,mp-759912_Li,Li5-1CoNi9O20,CoNi9O20,Li5CoNi9O20,Li10CoNi9O20,3.8398206033333326,137.22227737164928,658.9492020730767,526.9089278879803,2530.2467226702593,mp-1120825,mp-759912
51,mp-753104_Li,Li2-4Fe3CuO8,Fe3CuO8,Li2Fe3CuO8,Li4Fe3CuO8,3.7747406783333277,138.5661632134607,596.9270160872393,523.0513329224252,2253.2446896206347,mp-755351,mp-753104
52,mp-754313_Li,Li1-4V3CoO10,V3CoO10,LiV3CoO10,Li4V3CoO10,3.3902055599999987,201.25478033119992,648.2937875816972,682.2950752554124,2197.849203172928,mp-754313,mp-759134
53,mp-753557_Li,Li2-3CuSbO5,CuSbO5,Li2CuSbO5,Li3CuSbO5,3.575054178333329,93.67020524301842,446.44128070859335,334.8760586393935,1596.0517659777395,mp-753557,mp-767395
54,mp-758259_Li,Li0-4Ti3Cu3(TeO8)2,Ti3Cu3(TeO8)2,Ti3Cu3(TeO8)2,Li4Ti3Cu3(TeO8)2,3.652500228333335,122.77454751886073,567.526781466401,448.4340628461607,2072.8916988913124,mp-760579,mp-758259
55,mp-774423_Li,Li0-6V3Cu(PO4)6,V3Cu(PO4)6,V3Cu(PO4)6,Li6V3Cu(PO4)6,3.3466521733333394,194.2500716755031,577.804067918493,650.0874245429794,1933.7092396602693,mp-774423,mp-1176990
56,mp-1213434_Li,Li0-1CuP4(RuO7)2,CuP4(RuO7)2,CuP4(RuO7)2,LiCuP4(RuO7)2,2.5954275233333464,43.192412015027735,166.54367225421885,112.10277494295691,432.2520308056078,mp-1213434,mp-1235071
57,mp-755979_Li,Li0-1V2CoO6,V2CoO6,V2CoO6,LiV2CoO6,2.654171328333338,101.61560507019398,439.95483240841423,269.7052254885526,1167.715501940112,mp-755979,mp-761801
58,mp-755025_Li,Li0-2VCu(PO4)2,VCu(PO4)2,VCu(PO4)2,Li2VCu(PO4)2,3.244210575833333,168.3974357539212,597.7353024804917,546.3167420160854,1939.1791898561473,mp-755025,mp-757133
59,mp-755017_Li,Li0-2V3CoO8,V3CoO8,V3CoO8,Li2V3CoO8,2.4252320383333315,151.57712954409598,585.5554114063451,367.60971084894334,1420.1077439621229,mp-755017,mp-756121
60,mp-753151_Li,Li0-1VCoO4,VCoO4,VCoO4,LiVCoO4,3.91997867333333,148.22738087574749,567.7929416841864,581.0481718369869,2225.736222271206,mp-771137,mp-753151
61,mp-753959_Li,Li1-2VCoO4,VCoO4,LiVCoO4,Li2VCoO4,3.7042000433333344,142.74763272586597,599.6085019722663,528.7657873288837,2221.0698389887043,mp-753959,mp-773359
62,mp-1176532_Li,Li0-8Mn7Cu(PO4)12,Mn7Cu(PO4)12,Mn7Cu(PO4)12,Li8Mn7Cu(PO4)12,4.905423368333334,130.47665373663435,395.7099371706681,640.043226261623,1941.124772878711,mp-1176532,mp-1176950
63,mp-754522_Li,Li0-1VCoO4,VCoO4,VCoO4,LiVCoO4,4.222642800833332,148.22738087574749,561.0917948505211,625.9112827413554,2369.2902281322054,mp-771308,mp-754522
64,mp-769763_Li,Li4.5-5Cu(HO2)2,Cu(HO2)2,Li9Cu2(HO2)4,Li5Cu(HO2)2,2.9943026733333276,81.5802696522215,200.3353658239288,244.27601951090057,599.8647214498002,mp-781825,mp-769763
65,mp-4409_Li,Li0-0.5Cu(RhO2)2,Cu(RhO2)2,Cu(RhO2)2,LiCu2(RhO2)4,1.4325806533333367,39.785457119086274,271.1636405625459,56.99587615282607,388.46378535733805,mp-4409,mp-1235381
66,mp-21496_Li,Li0-1La4CuO8,La4CuO8,La4CuO8,LiLa4CuO8,3.9229148233333335,35.54082500835148,239.3509443777013,139.42362925875807,938.9533676781166,mp-772213,mp-21496
67,mp-756700_Li,Li3-4V3CoO8,V3CoO8,Li3V3CoO8,Li4V3CoO8,2.5367340533333373,72.92584779092643,304.9208901734804,184.9934814594468,773.5032056757824,mp-1177534,mp-771356
68,mp-756573_Li,Li0-3Cu(TeO3)4,Cu(TeO3)4,Cu(TeO3)4,Li3Cu(TeO3)4,3.4712480499999994,102.19667939659968,564.4427526337598,354.75002407192176,1959.3208044165708,mp-756573,mp-761021
69,mp-774793_Li,Li0-1La8Cu3O16,La8Cu3O16,La8Cu3O16,LiLa8Cu3O16,3.3125827933333243,17.127591862381763,118.27865223234434,56.736566094561695,391.80782820352005,mp-776310,mp-774793
70,mp-754223_Li,Li0-1Ta2CuO6,Ta2CuO6,Ta2CuO6,LiTa2CuO6,3.3899149133333326,50.72395577706716,399.5718796915709,171.9498941519404,1354.5146739150885,mp-754223,mp-1222423
71,mp-752986_Li,Li3-4CuNi3O8,CuNi3O8,Li3CuNi3O8,Li4CuNi3O8,3.6811265233333375,67.78571273841646,313.41292574777094,249.5277850644393,1153.7126337256216,mp-861850,mp-752986
72,mp-756349_Li,Li0-5Mn3Cu(PO4)4,Mn3Cu(PO4)4,Mn3Cu(PO4)4,Li5Mn3Cu(PO4)4,3.5235645473333297,208.42566951497645,689.5597216125043,734.4012998571842,2429.7081883428605,mp-756349,mp-1177150
73,mp-757296_Li,Li0-2V3CoO8,V3CoO8,V3CoO8,Li2V3CoO8,3.512317765833335,151.57712954409598,598.608091123979,532.3870449917491,2102.501833226331,mp-861494,mp-1177869
