t, MSD, MSD_a, MSD_b, MSD_c, MSCD
6490, 0.21180660229679193, 0.07127615377420302, 0.07119750877643397, 0.06933293974615633, 0.2464653347391874
6535, 0.20712720618456942, 0.07287495498066678, 0.06514721542989743, 0.06910503577400516, 0.2622426547215646
6580, 0.20466788208639286, 0.06746226330559808, 0.0695806171213821, 0.06762500165941188, 0.30751773694754925
6625, 0.20925807400107826, 0.07195792884544988, 0.067074405287399, 0.07022573986822955, 0.24834493134053512
6670, 0.209095770531606, 0.07163697861246035, 0.06919269138145634, 0.06826610053768922, 0.25173722201395354
6715, 0.20418395947026444, 0.06966956651249658, 0.06630220857582743, 0.06821218438194172, 0.3009676404496624
6760, 0.2059836972651487, 0.0711605263586973, 0.0664693762967494, 0.06835379460970346, 0.2513889986791617
6805, 0.20413270477399217, 0.07057184846941673, 0.06532884852198992, 0.06823200778258681, 0.22649991548225099
6850, 0.2127324394750587, 0.07258928521138543, 0.06929148845589787, 0.07085166580777547, 0.3141306660027315
6895, 0.1987225555731509, 0.06692150957142905, 0.06642172603279314, 0.06537931996893086, 0.2465725312471195
6940, 0.2099971870946358, 0.07253249519365285, 0.0682963754752926, 0.06916831642569016, 0.247192445289645
6985, 0.20351719438639163, 0.0697496621318507, 0.06583261726019043, 0.06793491499435025, 0.26035669816302054
7030, 0.20868832997043973, 0.07187566410630611, 0.0681932477478318, 0.06861941811630075, 0.26339407487532457
7075, 0.20727998885500326, 0.07027849526037688, 0.06591381462705634, 0.07108767896756867, 0.24740346210300784
7120, 0.20070708215032662, 0.0694938715725662, 0.06502091173242432, 0.06619229884533694, 0.2623290631037815
7165, 0.21424648565746712, 0.07278834096626982, 0.07192409343864509, 0.06953405125255153, 0.27119392123418673
7210, 0.19901965435068072, 0.06748790061615374, 0.06322114014921393, 0.06831061358531229, 0.2055806496892139
7255, 0.20599548278165425, 0.07000662547387963, 0.06706110594805237, 0.06892775135972265, 0.290912567260075
7300, 0.21380666282747562, 0.07358774311467219, 0.0710264181411963, 0.06919250157160578, 0.27591330449306983
7345, 0.20160410310684748, 0.06768902175042571, 0.06363207005545467, 0.07028301130096679, 0.23750575652674472
7390, 0.21158632490438695, 0.0730373590918773, 0.06883745359492063, 0.06971151221758792, 0.2490326398238108
7435, 0.20261406125927853, 0.06890674233458051, 0.06672604162157496, 0.06698127730312421, 0.2961245046960147
7480, 0.20797045205937428, 0.07319354316373779, 0.06662276105518426, 0.06815414784045339, 0.22516028239509228
7525, 0.20282252753999336, 0.06847788875267984, 0.06436883509334611, 0.06997580369396969, 0.26379928857867085
7570, 0.21083677182637078, 0.07003812807599377, 0.07115244877361462, 0.06964619497676408, 0.270051588448584
7615, 0.2064100167044169, 0.07215455450869145, 0.0633540453518985, 0.0709014168438256, 0.25374156648483576
7660, 0.20677640789778287, 0.06903799379360323, 0.06955447833548319, 0.06818393576869772, 0.24318563489334583
7705, 0.20416552697595314, 0.07029557579332488, 0.06557311760840456, 0.06829683357422295, 0.2834283566425306
7750, 0.20609860870039692, 0.06765869514080824, 0.06781154306414772, 0.07062837049544193, 0.25206434411275536
7795, 0.20892894373980386, 0.07229620589125901, 0.06661446283402889, 0.07001827501451645, 0.27111678284054563
7840, 0.2023203160706794, 0.06827612129650097, 0.065055879539277, 0.06898831523490052, 0.30357578694585197
7885, 0.21356483244565255, 0.07167812071406256, 0.06889758431128927, 0.07298912742029876, 0.23980784238140526
7930, 0.2043538989628244, 0.06960101037506974, 0.06560517674658464, 0.06914771184116998, 0.24644919992183284
7975, 0.19913310096891326, 0.06745955676816803, 0.06647328365908305, 0.06520026054166253, 0.24725865709081865
8020, 0.20911643416302886, 0.07275338952563336, 0.06707563003117475, 0.06928741460622219, 0.2523841184449558
8065, 0.2025534297313346, 0.07029326357694744, 0.06426991437515933, 0.06799025177922863, 0.2470440474112806
8110, 0.20133643747404006, 0.06854229269607792, 0.06395937669528172, 0.06883476808268046, 0.24494516394356464
8155, 0.21491448161220558, 0.07473123565430596, 0.06745841080057616, 0.07272483515732252, 0.25553109757508025
8200, 0.20015124340997137, 0.06801841460743974, 0.06672568469603166, 0.06540714410649913, 0.23228651748239101
8245, 0.19834307691409023, 0.06863053921231202, 0.06365838207555642, 0.06605415562622238, 0.25383001498928026
8290, 0.2130374120984589, 0.07261038291072507, 0.06942489687418278, 0.0710021323135529, 0.27528696230704613
