,formula,mp-id,crystal system,density,energy above hull,band gap,efermi,is gap direct,theoretical
335,Li7Ni(O2F)2,mp-1663705,P1,2.5755087983055267,0.08826494809523844,1.1687999999999998,0.46768287,False,True
336,Li9Mn3P8O29,mp-26035,C2/c,2.6795690378129575,0.0,1.4499000000000002,1.22978005,False,True
337,Li4Mn3O5F3,mp-753944,Cm,3.602289993277742,0.09483867599999751,0.7021999999999999,2.11443606,False,True
338,Li4V2OF7,mp-757993,Cm,3.001144067098982,0.06200487062499693,0.7107999999999999,2.29936972,False,True
339,Li3Mn2P2O8F3,mp-758713,Fmm2,2.881537417264508,0.06885068277778306,0.0,1.4041236,False,True
340,Li2CoO3,mp-752760,P4_2/mnm,2.9584124762291695,0.1482995641666669,0.8901,-0.22346805,False,True
341,Li7Mn5O12,mp-1648171,P-1,3.8546362252401978,0.0294073229166667,0.8045999999999998,2.76038606,False,True
342,Li7V3P8O29,mp-1176881,P1,2.59204658872736,0.07893704790336731,0.40070000000000006,2.11073087,False,True
343,Li2CrP4O13,mp-31739,P-1,2.5378410122517803,0.054116427593747574,0.12710000000000002,0.20068113,False,True
344,Li2Fe(PO4)2,mp-689973,P2_1,2.973360974813233,0.0767096349519214,0.0,1.13318203,False,True
345,Li3FeSi2O7,mp-759383,P6_3,2.9053602967701453,0.03611878673076774,0.7926000000000002,2.17239658,False,True
346,Li2VO2F,mp-753045,Cm,3.4442864480246866,0.15082728958332936,0.0,3.33776191,False,True
347,Li4Sn(PO3)6,mp-758031,C2/c,2.8300542712271817,0.0533681856752839,4.2261,1.86619457,False,True
348,Li3MnCoO5,mp-1174084,C2/m,3.8812003510982973,0.1586126404999888,0.17090000000000005,2.5820735,False,True
349,Li3VO4,mp-581162,Pnma,2.6299764764504014,0.0026933740624999203,3.939,-0.761298,False,True
350,Li7Mn4CoO12,mp-1175184,P1,3.943961219020978,0.03867156177083153,0.6483000000000003,3.43755277,False,True
351,Li4V3P8O29,mp-1177204,P1,2.5309147049793244,0.045173819583332,0.9118999999999999,0.2153024,False,True
352,Li9Mn2Co5O16,mp-1176070,P1,4.152885341864754,0.11467727562500052,0.08499999999999996,2.70648386,False,True
353,Li7Mn4CoO12,mp-1175355,Cm,3.8266054230516224,0.1787146646874982,0.0,2.34331216,False,True
354,Li4MnCo2O7,mp-1174531,C2/m,4.1235732857819585,0.06514808285714224,1.141,3.48861115,False,True
355,Li4Si4Bi2O13,mp-758026,P-1,4.237451357250694,0.09596989706521697,2.3108999999999997,2.36494828,False,True
356,Li9Mn2Co5O16,mp-1373337,P1,4.292954720366958,1.0817266765625009,0.0,3.5412662,False,True
357,Li3Co2(SiO4)2,mp-777651,P2_1,3.0321744573798095,0.07333328633333291,0.02200000000000002,1.66912953,False,True
