material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-1177687,Li3Mn7O12,66,P1,-2.029653769
mp-531365,Li3Mn8O16,54,Pmmn,-1.982966277
mp-770556,Li3MnO3,84,P321,-2.045537517
mp-773121,Li3Nb2VO6,48,C2/m,-2.532983179
mp-758143,Li3Ni5O8,48,C2/m,-1.414610158
mp-1177647,Li3Ni7O12,66,P1,-1.214328066
mp-758512,Li3Ti2Mn5O12,66,P1,-2.443699908
mp-1177731,Li3Ti2V5O12,66,P1,-2.648169317
mp-1304492,Li3Ti3VO8,60,C2/m,-2.916389079
mp-759205,Li3TiMn3O8,45,P-1,-2.385020574
mp-772492,Li3V12O29,44,Cm,-2.370848703
mp-1177621,Li3V24O58,85,P1,-2.337412071
mp-770492,Li24Mn11CrO36,72,P1,-2.181905346
mp-768726,Li24Mn5Cr7O36,72,P1,-2.20744582
mp-768724,Li24Mn7Cr5O36,72,P1,-2.198614386
mp-1178077,Li24MnCr11O36,72,C2,-2.228227097
mp-1223182,Li2Fe2(MoO4)3,76,Pc,-2.018059261
mp-775291,Li2Mn2Cr3O12,76,Pbcn,-1.949789045
mp-1177935,Li2Mn3CoO8,56,P4_332,-1.873432377
mp-775679,Li2Mn3CrO8,56,P4_32_12,-2.14092837
mp-757572,Li2MnCo3O8,56,P4_332,-1.654012647
mp-1177916,Li2MnCr3O8,56,P4_32_12,-2.245291306
mp-770856,Li2MnCrO4,64,P-1,-2.258238412
mp-776874,Li2V3(FeO6)2,76,Pbcn,-2.127138745
mp-773482,Li2V3FeO8,56,P4_3,-2.343719016
mp-772953,Li2VFe3O8,56,P4_332,-1.986185692
mp-1177783,Li32Mn11Cr5O48,96,P1,-2.181095469
mp-1177747,Li32Mn13Cr3O48,96,P1,-2.186983664
mp-777576,Li32Mn3Cr13O48,96,P1,-2.221061047
mp-1177991,Li32Mn5Cr11O48,96,P1,-2.211491406
mp-1222986,Li3Fe(MoO4)3,76,Pc,-2.084492966
mp-775234,Li3V3(FeO6)2,80,P2_1/c,-2.235944799
mp-774648,Li3V4FeO12,40,C2,-2.314927089
mp-774397,Li4Mn2Co5O12,46,P2_1,-1.693875284
mp-1642421,Li4Mn3(CoO4)3,44,P-1,-1.786584683
mp-768594,Li4MnCrO6,48,P1,-2.203501526
mp-774525,Li4Ti3Mn4(CoO9)2,62,Pmc2_1,-2.333640003
mp-768109,Li4Ti3V2(Fe2O9)2,62,Pmc2_1,-2.443737132
mp-767219,Li4Ti4Mn(Co2O9)2,62,Pbam,-2.353681247
mp-774293,Li4Ti4Mn4CoO18,62,Pbam,-2.539102407
mp-767675,Li4Ti4V(Fe2O9)2,62,Pbam,-2.541720312
mp-758608,Li4V2Fe5O12,46,P2_1,-1.988969103
mp-760208,Li4V3(FeO6)2,84,P2_1/c,-2.255769366
mp-774849,Li4V5(Fe2O9)2,62,Pbam,-2.15211294
mp-850103,Li4V5(FeO6)2,46,P2_1,-2.263146309
mp-760336,Li5Mn5CoO12,69,P1,-1.99238837
mp-761082,Li5MnCr3O8,68,P4_32_12,-2.235021077
mp-1641416,Li6Mn5CoO12,48,P-1,-2.03389495
mp-769505,Li7Mn10Cr6O32,55,P1,-2.150128298
mp-1174508,Li7Mn2(CoO4)3,48,C2/m,-1.861471744
