,battery_formula,battery_id,charge_id,discharge_id
217,Li0-2CoNi(PO4)2,mp-757611_Li,mp-765340,mp-757611
218,Li0-4Ti3Mn2Co3O16,mp-757180_Li,mp-757180,mp-757980
219,Li1-2CoPO4F,mp-758908_Li,mp-758908,mp-770624
220,Li0-4Mn3Co3(SbO8)2,mp-758093_Li,mp-863857,mp-758093
221,Li0-0.5LaCoSbPbO6,mp-1223180_Li,mp-1223180,mp-1235261
222,Li0-4Mn3Co2Te3O16,mp-753545_Li,mp-755884,mp-753545
223,Li0-4Mn2Co3Te3O16,mp-753987_Li,mp-755888,mp-753987
224,Li0-1CuCO3,mp-757800_Li,mp-758727,mp-757800
225,Li0-4Mn3Co(PO4)4,mp-757412_Li,mp-757412,mp-758017
226,Li1.5-2MnCO5,mp-758407_Li,mp-758407,mp-764236
227,Li0-4Mn3Co3(TeO8)2,mp-769585_Li,mp-772448,mp-769585
228,Li0-1Co(PtO2)3,mp-19238_Li,mp-19238,mp-1235119
229,Li0-2Mn2Co(PO4)3,mp-757011_Li,mp-757011,mp-757760
230,Li0-2CoPHO5,mp-754793_Li,mp-755227,mp-1565574
231,Li0-4Mn5Co(PO4)6,mp-760813_Li,mp-771641,mp-760813
232,Li0-4V3Co(PO4)4,mp-765840_Li,mp-774635,mp-765840
233,Li0.33-1CuCO3,mp-758020_Li,mp-758020,mp-760509
234,Li6-7MnCo3(PO4)6,mp-759177_Li,mp-759177,mp-887355
235,Li0-4Ti3Co3(TeO8)2,mp-752786_Li,mp-752786,mp-753426
236,Li0-4CrCo5O12,mp-756950_Li,mp-756950,mp-771079
237,Li0-1Co(CO)4,mp-18939_Li,mp-510741,mp-18939
238,Li0-2.5MnCo(PO4)2,mp-755452_Li,mp-775270,mp-1177107
239,Li0-4MnCr2Fe3(PO4)6,mp-776060_Li,mp-776060,mp-779026
240,Li0-4Mn3Cr3(TeO8)2,mp-772061_Li,mp-772061,mp-774791
241,Li0-4Mn3Cr3(SnO8)2,mp-771095_Li,mp-771095,mp-776096
242,Li0.5-1.5Mn(CO3)2,mp-758258_Li,mp-758704,mp-758761
243,Li0-4NbV3Cr2(PO4)6,mp-774893_Li,mp-774893,mp-1177323
